year,total,asia,afghanistan,united_arab_emirates,myanmar,bahrain,bhutan,bangladesh,brunei,cambodia,sri_lanka,china,taiwan,china_hong_kong,china_other,cyprus,timor_leste,india,indonesia,iran,iraq,israel,jordan,south_korea,north_korea,kuwait,laos,lebanon,malaysia,mongolia,oman,maldives,nepal,pakistan,philippines,qatar,saudi_arabia,syria,singapore,thailand,turkey,vietnam,yemen,europe,albania,austria,belgium,bulgaria,belarus,croatia,czechoslovakia,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,kyrgyzstan,kazakhstan,liechtenstein,luxembourg,latvia,lithuania,monaco,malta,moldova,north_macedonia,netherlands,norway,poland,portugal,romania,russia,san_marino,spain,sweden,switzerland,turkmenistan,tajikistan,united_kingdom,united_kingdom_hong_kong,ukraine,uzbekistan,vatican_city,yugoslavia,armenia,azerbaijan,andorra,georgia_country,slovenia,slovakia,bosnia_and_herzegovina,serbia_and_montenegro,africa,algeria,burundi,botswana,cameroon,central_african_republic,chad,republic_of_the_congo,democratic_republic_of_the_congo,cape_verde,comoros,benin,djibouti,ethiopia,equatorial_guinea,eritrea,gabon,ghana,guinea,gambia,guinea_bissau,cote_d_ivoire,kenya,liberia,libya,lesotho,madagascar,mali,mauritania,morocco,malawi,mauritius,mozambique,niger,nigeria,namibia,rwanda,senegal,sierra_leone,somalia,sudan,eswatini,sao_tome_and_principe,seychelles,tanzania,togo,tunisia,uganda,south_africa,egypt,burkina_faso,zambia,zimbabwe,angola,north_america,barbados,bahamas,belize,canada,costa_rica,cuba,dominican_republic,dominica,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,saint_lucia,saint_vincent,saint_kitts_and_nevis,trinidad_and_tobago,united_states,grenada,antigua_and_barbuda,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,suriname,uruguay,venezuela,oceania,australia,fiji,kiribati,marshall_islands,micronesia,new_zealand,nauru,papua_new_guinea,palau,solomon_islands,tonga,tuvalu,vanuatu,samoa,stateless,unknown_other
1950 ,18046 ,4135 ,,,36 ,,1 ,,,,18 ,2095 ,5 ,,,,,343 ,18 ,4 ,11 ,3 ,,825 ,,,,7 ,1 ,,,,,31 ,536 ,,,12 ,,150 ,21 ,18 ,,3606 ,,2 ,51 ,,,,5 ,,231 ,2 ,7 ,501 ,103 ,32 ,4 ,,47 ,100 ,,,,1 ,2 ,2 ,,,,,144 ,148 ,32 ,92 ,,172 ,,65 ,114 ,76 ,,,1669 ,,,,1 ,3 ,,,,,,,,,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 ,13 ,,,,,9853 ,,,,314 ,4 ,4 ,,,2 ,,,,,13 ,1 ,,,,,,9515 ,,,102 ,22 ,1 ,39 ,8 ,20 ,1 ,,2 ,5 ,,1 ,3 ,188 ,180 ,,,,,8 ,,,,,,,,,125 ,2 
1951 ,24268 ,7049 ,1 ,,25 ,,,,,8 ,9 ,3789 ,1 ,,,,,698 ,132 ,6 ,9 ,12 ,,1035 ,,,,2 ,1 ,,,,,107 ,868 ,,3 ,17 ,,213 ,36 ,75 ,2 ,5483 ,,,68 ,,,,,,204 ,2 ,12 ,558 ,205 ,193 ,6 ,,37 ,204 ,,,1 ,1 ,4 ,1 ,,1 ,,,256 ,268 ,18 ,138 ,4 ,122 ,,102 ,276 ,127 ,,,2667 ,,,,1 ,7 ,,,,,,,,,206 ,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172 ,31 ,,,,,10769 ,,,,330 ,2 ,8 ,,,4 ,3 ,,1 ,,55 ,,12 ,,,,,10354 ,,,371 ,21 ,15 ,300 ,4 ,4 ,7 ,,2 ,13 ,,4 ,1 ,218 ,209 ,,,,,7 ,,,2 ,,,,,,171 ,1 
1952 ,32262 ,8503 ,2 ,,88 ,2 ,,,,5 ,71 ,3958 ,2 ,,,,,792 ,231 ,18 ,6 ,42 ,1 ,1693 ,,1 ,2 ,6 ,7 ,,,,6 ,192 ,869 ,,1 ,11 ,,451 ,26 ,20 ,,6068 ,,25 ,184 ,,,1 ,5 ,,141 ,1 ,14 ,590 ,320 ,137 ,2 ,3 ,23 ,174 ,,,1 ,,,1 ,,,,,348 ,306 ,9 ,140 ,1 ,16 ,,113 ,422 ,153 ,,,2920 ,,,,,18 ,,,,,,,,,121 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,113 ,6 ,,,,,16548 ,,,,538 ,3 ,14 ,6 ,,4 ,,,1 ,,24 ,3 ,14 ,,,,,15941 ,,,662 ,40 ,3 ,575 ,10 ,2 ,3 ,,1 ,21 ,,3 ,4 ,217 ,209 ,,,,,8 ,,,,,,,,,140 ,3 
1953 ,46857 ,13343 ,4 ,,103 ,,,,,16 ,39 ,5214 ,,,,,,1078 ,366 ,49 ,15 ,70 ,,3772 ,,5 ,,4 ,,,,,,210 ,1472 ,,1 ,25 ,,782 ,85 ,33 ,,8902 ,,32 ,520 ,,,,1 ,,260 ,,11 ,1049 ,487 ,138 ,4 ,3 ,60 ,261 ,,,1 ,1 ,,2 ,,,,,644 ,431 ,8 ,118 ,,5 ,,165 ,624 ,372 ,,,3692 ,,,,2 ,11 ,,,,,,,,,229 ,,,,,,,,,,,,,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,199 ,25 ,,,,,22799 ,,,,793 ,4 ,26 ,5 ,,1 ,2 ,2 ,6 ,,59 ,2 ,13 ,,,,,21886 ,,,745 ,64 ,,581 ,18 ,24 ,4 ,,,34 ,,2 ,18 ,676 ,585 ,,,,,91 ,,,,,,,,,159 ,4 
1954 ,47425 ,13317 ,5 ,,158 ,3 ,,,,28 ,91 ,5356 ,,,,,,971 ,409 ,77 ,7 ,130 ,,3073 ,,,3 ,17 ,7 ,,,,3 ,212 ,1584 ,,1 ,23 ,,962 ,102 ,93 ,2 ,8135 ,,22 ,85 ,,,,3 ,,234 ,,33 ,763 ,806 ,64 ,29 ,2 ,33 ,190 ,,,1 ,1 ,,,,,,,478 ,146 ,13 ,162 ,,71 ,,152 ,439 ,486 ,,,3918 ,,,,,4 ,,,,,,,,,146 ,,,,,,,,,,,,,1 ,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,8 ,,,,,,,,106 ,29 ,,,,,24544 ,,,,1078 ,7 ,25 ,12 ,,6 ,2 ,1 ,2 ,,93 ,3 ,11 ,,,,,23304 ,,,621 ,134 ,7 ,372 ,21 ,26 ,3 ,,1 ,31 ,,7 ,19 ,480 ,461 ,,,,,19 ,,,,,,,,,182 ,
1955 ,55638 ,14533 ,9 ,,242 ,,,,,86 ,86 ,6449 ,,,,,,1292 ,533 ,72 ,12 ,113 ,2 ,1227 ,,2 ,3 ,18 ,4 ,,,,7 ,214 ,2476 ,,4 ,13 ,,1145 ,169 ,351 ,4 ,10305 ,,108 ,134 ,,,,9 ,,353 ,1 ,55 ,1318 ,942 ,365 ,4 ,1 ,80 ,279 ,,,1 ,,,1 ,,,,,527 ,177 ,3 ,172 ,2 ,42 ,,155 ,479 ,491 ,,,4589 ,,,,,17 ,,,,,,,,,220 ,,,,,,,,3 ,,,,,3 ,,,,,,,,,3 ,8 ,,,,,,,,,,,3 ,,,,,,,,,,,,,,163 ,37 ,,,,,29370 ,,,,1244 ,,38 ,5 ,,6 ,,,5 ,,142 ,4 ,18 ,,,,,27908 ,,,465 ,142 ,3 ,208 ,20 ,28 ,5 ,,,21 ,,12 ,26 ,579 ,536 ,,,,,43 ,,,,,,,,,166 ,
1956 ,66356 ,15320 ,16 ,,351 ,4 ,,,,97 ,139 ,5969 ,,,,,,1705 ,676 ,84 ,15 ,129 ,1 ,1140 ,,13 ,28 ,26 ,7 ,,,,31 ,208 ,2919 ,,5 ,25 ,,1038 ,153 ,539 ,2 ,13413 ,,144 ,120 ,,,,12 ,,376 ,,31 ,1209 ,1554 ,1291 ,4 ,5 ,65 ,401 ,,,,2 ,,,,,,,504 ,210 ,8 ,178 ,10 ,71 ,,181 ,438 ,485 ,,,6098 ,,,,3 ,13 ,,,,,,,,,281 ,,,,,,,,,,,,,28 ,,,,,,,,,,6 ,1 ,,,,,,,,,,3 ,,,,,,1 ,,,,,,,,217 ,25 ,,,,,35870 ,,,,1380 ,4 ,46 ,4 ,,5 ,10 ,,8 ,,223 ,6 ,34 ,,,,,34150 ,,,633 ,116 ,19 ,316 ,39 ,55 ,7 ,,1 ,32 ,,20 ,28 ,744 ,697 ,,,,,47 ,,,,,,,,,95 ,
1957 ,80361 ,20385 ,12 ,,604 ,2 ,6 ,,,136 ,144 ,7072 ,,,,,,1340 ,926 ,135 ,44 ,215 ,4 ,2887 ,,13 ,133 ,58 ,83 ,5 ,,,15 ,238 ,3653 ,,9 ,30 ,,1448 ,470 ,703 ,,15147 ,,133 ,179 ,2 ,,,54 ,,650 ,,46 ,1343 ,1711 ,1438 ,4 ,2 ,70 ,377 ,,,1 ,2 ,,,,,,,789 ,538 ,55 ,166 ,3 ,407 ,,221 ,541 ,741 ,,,5652 ,,1 ,,,21 ,,,,,,,,,454 ,,,,,,,,,,,,,26 ,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,21 ,,,,1 ,,,,313 ,85 ,,,5 ,,41851 ,,,,1558 ,5 ,64 ,17 ,,16 ,10 ,4 ,14 ,2 ,244 ,4 ,35 ,,,,,39878 ,,,749 ,90 ,7 ,379 ,57 ,31 ,12 ,,6 ,62 ,,18 ,87 ,1581 ,1431 ,,,,,150 ,,,,,,,,,194 ,
1958 ,96514 ,22979 ,33 ,,670 ,4 ,3 ,,,208 ,187 ,6463 ,,,,,,1977 ,1311 ,350 ,29 ,232 ,7 ,3735 ,,10 ,200 ,35 ,334 ,4 ,,,38 ,344 ,3875 ,,24 ,31 ,,1447 ,867 ,560 ,1 ,15560 ,,192 ,175 ,4 ,,,75 ,,674 ,,56 ,1709 ,2049 ,454 ,8 ,6 ,66 ,544 ,,,3 ,1 ,,,,,,,923 ,504 ,39 ,209 ,5 ,561 ,1 ,212 ,781 ,934 ,,,5319 ,,,,8 ,48 ,,,,,,,,,458 ,,,,,,,,,,,,,6 ,,,,5 ,,,,,,3 ,,,,,,2 ,,,,,1 ,,,,,,4 ,,,,2 ,,1 ,1 ,325 ,108 ,,,,,54069 ,,,,2135 ,10 ,64 ,7 ,,17 ,35 ,5 ,11 ,,325 ,11 ,50 ,,,,,51399 ,,,968 ,198 ,18 ,396 ,65 ,75 ,13 ,,7 ,89 ,,24 ,83 ,2330 ,2083 ,,,,,247 ,,,,,,,,,150 ,
1959 ,118020 ,22129 ,34 ,,426 ,4 ,,,,215 ,252 ,6595 ,,,,,,2161 ,1267 ,221 ,16 ,269 ,15 ,2530 ,,23 ,96 ,62 ,354 ,4 ,,,38 ,284 ,4991 ,,20 ,,,1475 ,148 ,629 ,,18206 ,,376 ,224 ,2 ,,,303 ,,547 ,,64 ,2070 ,2218 ,152 ,4 ,1 ,66 ,793 ,,,1 ,6 ,,1 ,,,,,1772 ,405 ,40 ,200 ,7 ,444 ,,276 ,891 ,981 ,,,6262 ,,,,8 ,92 ,,,,,,,,,610 ,,,,,,,,,,,,,28 ,,,,10 ,,,,,,1 ,2 ,,,,,5 ,,,,,1 ,,,,,,9 ,,,,2 ,,5 ,1 ,425 ,121 ,,,,,72328 ,,,,2822 ,15 ,132 ,11 ,,21 ,34 ,2 ,4 ,,566 ,12 ,57 ,,,,,68652 ,,,1205 ,229 ,17 ,402 ,74 ,108 ,13 ,,9 ,90 ,,19 ,244 ,3436 ,2993 ,,,,,442 ,,,,,1 ,,,,106 ,
1960 ,146881 ,29629 ,16 ,,614 ,2 ,,,,254 ,274 ,7898 ,,,,,,2680 ,1694 ,254 ,46 ,411 ,16 ,5752 ,,18 ,86 ,106 ,740 ,4 ,,,52 ,471 ,5508 ,2 ,52 ,,,1815 ,114 ,750 ,,23181 ,,334 ,244 ,28 ,,,112 ,,739 ,,112 ,2528 ,3184 ,174 ,49 ,8 ,79 ,1142 ,,,1 ,4 ,,,2 ,,,,1691 ,561 ,169 ,273 ,43 ,918 ,,373 ,1146 ,1346 ,,,7820 ,,,,9 ,92 ,,,,,,,,,854 ,,,,,,,,,,,,,17 ,,,,43 ,4 ,,,,,4 ,3 ,,,,,9 ,,,,,6 ,,,2 ,,,9 ,,,,,,6 ,1 ,493 ,257 ,,,,,86353 ,,,,3234 ,19 ,70 ,14 ,,27 ,51 ,5 ,2 ,,1078 ,13 ,110 ,,,,,81730 ,,,1658 ,376 ,38 ,478 ,173 ,135 ,46 ,,10 ,164 ,,34 ,204 ,5077 ,4311 ,,,,,766 ,,,,,,,,,129 ,
1961 ,180048 ,38483 ,30 ,,836 ,14 ,1 ,,,273 ,311 ,10262 ,,,,7 ,,3350 ,2510 ,329 ,54 ,315 ,30 ,7731 ,,35 ,104 ,140 ,1004 ,9 ,,,29 ,622 ,7128 ,,54 ,24 ,,2253 ,161 ,867 ,,28546 ,,485 ,415 ,15 ,,,140 ,,873 ,,127 ,3208 ,4140 ,242 ,49 ,9 ,100 ,1622 ,,,1 ,12 ,,,3 ,,,,1678 ,653 ,78 ,246 ,57 ,959 ,,360 ,1418 ,1695 ,,,9810 ,,,,3 ,148 ,,,,,,,,,991 ,,,,1 ,,,6 ,,,,2 ,,17 ,,,,26 ,1 ,,,,,3 ,8 ,,2 ,,,13 ,,,,,31 ,,,,,1 ,27 ,,,,1 ,,7 ,,581 ,263 ,1 ,,,,103485 ,,,,4560 ,16 ,90 ,22 ,,37 ,64 ,2 ,15 ,,1251 ,41 ,93 ,,,,,97294 ,,,2579 ,948 ,44 ,507 ,229 ,172 ,54 ,,35 ,353 ,,102 ,135 ,5783 ,4799 ,,,,,984 ,,,,,,,,,181 ,
1962 ,202181 ,40453 ,23 ,,513 ,10 ,,,,221 ,252 ,12008 ,,,,4 ,,3234 ,2423 ,317 ,71 ,441 ,35 ,7808 ,,71 ,143 ,271 ,1151 ,5 ,,,38 ,765 ,7225 ,,71 ,71 ,,2256 ,171 ,853 ,2 ,34660 ,,538 ,557 ,25 ,,,107 ,,1088 ,,226 ,4156 ,5178 ,208 ,75 ,14 ,137 ,1797 ,,,4 ,28 ,,,1 ,,,,2423 ,842 ,86 ,260 ,69 ,779 ,1 ,510 ,1889 ,2175 ,,,11356 ,,,,10 ,121 ,,,,,,,,,1468 ,1 ,,,7 ,,,10 ,5 ,,,3 ,,23 ,,,,26 ,2 ,,,9 ,,4 ,11 ,,4 ,,,24 ,,,,,31 ,,,1 ,1 ,2 ,26 ,,,,13 ,,11 ,,952 ,289 ,13 ,,,,115525 ,,,,4871 ,44 ,103 ,21 ,,38 ,39 ,2 ,12 ,,1873 ,26 ,95 ,,,,1 ,108400 ,,,2013 ,443 ,39 ,585 ,140 ,140 ,40 ,,20 ,283 ,,143 ,180 ,7888 ,6587 ,,,,,1301 ,,,,,,,,,174 ,
1963 ,227289 ,46761 ,33 ,,323 ,2 ,,,,225 ,338 ,14365 ,,,,11 ,,2708 ,2626 ,380 ,60 ,489 ,68 ,10551 ,,64 ,63 ,331 ,1479 ,11 ,1 ,,65 ,1037 ,7938 ,,87 ,99 ,,2722 ,177 ,508 ,,37890 ,2 ,524 ,573 ,43 ,,,150 ,,1085 ,,284 ,4527 ,5813 ,263 ,105 ,15 ,145 ,2266 ,,,2 ,12 ,,,,,,,1800 ,773 ,262 ,371 ,133 ,913 ,,498 ,2014 ,2212 ,,,12938 ,,,,6 ,161 ,,,,,,,,,1690 ,9 ,,,9 ,2 ,,6 ,1 ,,,15 ,,6 ,,,1 ,59 ,5 ,,,1 ,,5 ,3 ,,5 ,3 ,,18 ,,,,2 ,27 ,,,2 ,5 ,2 ,41 ,,,,20 ,4 ,23 ,9 ,1149 ,252 ,6 ,,,,131195 ,,,,4792 ,31 ,141 ,22 ,,179 ,65 ,8 ,26 ,37 ,1453 ,45 ,118 ,,,,20 ,124258 ,,,2127 ,421 ,47 ,656 ,128 ,174 ,52 ,,20 ,363 ,,93 ,173 ,7391 ,6152 ,,,,,1237 ,,,,,,,,2 ,158 ,77 
1964 ,273551 ,64955 ,50 ,,177 ,7 ,,,,285 ,255 ,562 ,12357 ,3844 ,105 ,11 ,,3334 ,4498 ,649 ,131 ,648 ,64 ,18865 ,152 ,82 ,110 ,428 ,3081 ,44 ,,,99 ,1328 ,9105 ,,86 ,143 ,,3218 ,240 ,993 ,4 ,52683 ,3 ,709 ,850 ,157 ,,,328 ,,1441 ,,562 ,7462 ,8283 ,484 ,512 ,45 ,201 ,3735 ,,,9 ,41 ,,,7 ,,,,2514 ,999 ,367 ,477 ,354 ,1962 ,,1034 ,2260 ,2506 ,,,15041 ,,,,13 ,327 ,,,,,,,,,2905 ,62 ,2 ,,14 ,7 ,9 ,14 ,18 ,,,8 ,,43 ,,,5 ,128 ,4 ,,,17 ,76 ,22 ,21 ,,14 ,14 ,7 ,104 ,,,,10 ,106 ,,4 ,41 ,12 ,13 ,31 ,,,,39 ,5 ,40 ,35 ,1584 ,379 ,17 ,,,,139737 ,,,,6625 ,90 ,228 ,76 ,,111 ,147 ,22 ,18 ,87 ,2133 ,55 ,175 ,,,,62 ,129908 ,,,3492 ,836 ,51 ,823 ,199 ,323 ,74 ,,27 ,548 ,,158 ,453 ,9493 ,7507 ,,,,,1985 ,,,,,,,,1 ,206 ,80 
1965 ,291309 ,66347 ,56 ,,266 ,6 ,2 ,,,221 ,245 ,576 ,15583 ,4326 ,24 ,10 ,,3701 ,4656 ,471 ,85 ,794 ,42 ,17065 ,3 ,64 ,119 ,253 ,3117 ,8 ,,,70 ,1029 ,8945 ,,83 ,71 ,79 ,3399 ,201 ,776 ,1 ,48169 ,4 ,623 ,666 ,86 ,,,217 ,,1353 ,,308 ,6082 ,7599 ,460 ,136 ,25 ,177 ,2442 ,,,3 ,18 ,,,6 ,,,,2744 ,1284 ,127 ,394 ,134 ,1650 ,,1017 ,2107 ,2639 ,,,15518 ,,,,10 ,340 ,,,,,,,,,2468 ,31 ,,,5 ,,,4 ,12 ,,,1 ,,33 ,,,,64 ,44 ,,,,51 ,9 ,12 ,,30 ,7 ,7 ,47 ,,,,4 ,54 ,,1 ,8 ,,1 ,44 ,,,,41 ,2 ,19 ,63 ,1642 ,220 ,12 ,,,,161454 ,,,,8320 ,41 ,143 ,15 ,,148 ,145 ,1 ,15 ,54 ,2107 ,30 ,134 ,,,,48 ,150253 ,,,3308 ,870 ,57 ,782 ,346 ,231 ,68 ,,35 ,538 ,,94 ,287 ,8893 ,7550 ,,,,,1341 ,,,,,,,,2 ,220 ,450 
1966 ,338584 ,80923 ,81 ,,254 ,10 ,2 ,,,223 ,405 ,503 ,17744 ,4229 ,65 ,10 ,,3919 ,3699 ,602 ,85 ,837 ,53 ,25791 ,4 ,93 ,167 ,235 ,2589 ,2 ,2 ,,121 ,1003 ,10824 ,,126 ,67 ,1277 ,4313 ,555 ,1032 ,1 ,54682 ,,852 ,858 ,108 ,,,225 ,,1443 ,,366 ,7109 ,8528 ,555 ,125 ,61 ,215 ,2594 ,,,5 ,22 ,,,5 ,3 ,,,2903 ,1431 ,239 ,533 ,261 ,2723 ,2 ,1243 ,2287 ,2830 ,,,17004 ,,,,9 ,143 ,,,,,,,,,2616 ,26 ,2 ,,2 ,1 ,4 ,14 ,13 ,,,1 ,,28 ,,,,37 ,8 ,4 ,,5 ,37 ,13 ,23 ,,9 ,3 ,1 ,54 ,,,,2 ,54 ,,,9 ,7 ,3 ,67 ,,,,42 ,4 ,25 ,31 ,1804 ,270 ,1 ,12 ,,,186641 ,,,,9932 ,77 ,143 ,26 ,,227 ,110 ,5 ,25 ,70 ,2098 ,112 ,179 ,,,,44 ,173593 ,,,4212 ,1039 ,56 ,1154 ,339 ,240 ,101 ,,56 ,777 ,,82 ,368 ,9297 ,7927 ,,,,,1367 ,,,,,,,,3 ,156 ,57 
