year,total,asia,afghanistan,united_arab_emirates,myanmar,bahrain,bhutan,bangladesh,brunei,cambodia,sri_lanka,china,taiwan,china_hong_kong,china_other,cyprus,timor_leste,india,indonesia,iran,iraq,israel,jordan,south_korea,north_korea,kuwait,laos,lebanon,malaysia,mongolia,oman,maldives,nepal,pakistan,philippines,qatar,saudi_arabia,syria,singapore,thailand,turkey,vietnam,yemen,europe,albania,austria,belgium,bulgaria,belarus,croatia,czechoslovakia,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,kyrgyzstan,kazakhstan,liechtenstein,luxembourg,latvia,lithuania,monaco,malta,moldova,north_macedonia,netherlands,norway,poland,portugal,romania,russia,san_marino,spain,sweden,switzerland,turkmenistan,tajikistan,united_kingdom,united_kingdom_hong_kong,ukraine,uzbekistan,vatican_city,yugoslavia,armenia,azerbaijan,andorra,georgia_country,slovenia,slovakia,bosnia_and_herzegovina,serbia_and_montenegro,africa,algeria,burundi,botswana,cameroon,central_african_republic,chad,republic_of_the_congo,democratic_republic_of_the_congo,cape_verde,comoros,benin,djibouti,ethiopia,equatorial_guinea,eritrea,gabon,ghana,guinea,gambia,guinea_bissau,cote_d_ivoire,kenya,liberia,libya,lesotho,madagascar,mali,mauritania,morocco,malawi,mauritius,mozambique,niger,nigeria,namibia,rwanda,senegal,sierra_leone,somalia,sudan,eswatini,sao_tome_and_principe,seychelles,tanzania,togo,tunisia,uganda,south_africa,egypt,burkina_faso,zambia,zimbabwe,angola,north_america,barbados,bahamas,belize,canada,costa_rica,cuba,dominican_republic,dominica,el_salvador,guatemala,haiti,honduras,jamaica,mexico,nicaragua,panama,saint_lucia,saint_vincent,saint_kitts_and_nevis,trinidad_and_tobago,united_states,grenada,antigua_and_barbuda,south_america,argentina,bolivia,brazil,chile,colombia,ecuador,guyana,paraguay,peru,suriname,uruguay,venezuela,oceania,australia,fiji,kiribati,marshall_islands,micronesia,new_zealand,nauru,papua_new_guinea,palau,solomon_islands,tonga,tuvalu,vanuatu,samoa,stateless,unknown_other
1994 ,3831367 ,2454541 ,306 ,433 ,2304 ,261 ,133 ,3445 ,868 ,797 ,4394 ,210476 ,681183 ,31535 ,133 ,276 ,,22969 ,31044 ,3658 ,70 ,6460 ,644 ,1140372 ,14565 ,656 ,622 ,411 ,43616 ,1557 ,265 ,154 ,2174 ,5399 ,126739 ,335 ,1250 ,499 ,41281 ,63812 ,3536 ,5789 ,120 ,530447 ,36 ,8438 ,8184 ,929 ,2 ,470 ,,1885 ,9085 ,136 ,7678 ,53883 ,65755 ,3150 ,2853 ,402 ,6366 ,25217 ,2 ,6 ,61 ,343 ,142 ,107 ,20 ,154 ,3 ,54 ,18487 ,5472 ,2654 ,5533 ,1104 ,25125 ,26 ,10310 ,15284 ,16024 ,,1 ,123638 ,109502 ,29 ,1 ,14 ,711 ,3 ,1 ,5 ,,437 ,725 ,,,13221 ,381 ,45 ,53 ,155 ,27 ,7 ,39 ,144 ,10 ,12 ,79 ,52 ,215 ,34 ,12 ,74 ,719 ,118 ,26 ,4 ,150 ,798 ,32 ,65 ,39 ,87 ,50 ,48 ,462 ,54 ,381 ,43 ,30 ,555 ,41 ,17 ,227 ,38 ,18 ,145 ,33 ,4 ,50 ,416 ,32 ,478 ,508 ,3117 ,2452 ,51 ,310 ,263 ,21 ,637623 ,54 ,48 ,74 ,75560 ,431 ,390 ,992 ,56 ,292 ,343 ,39 ,310 ,638 ,9226 ,156 ,367 ,10 ,10 ,5 ,332 ,548265 ,12 ,13 ,102665 ,5694 ,1266 ,72236 ,2072 ,3632 ,735 ,69 ,847 ,14137 ,36 ,678 ,1263 ,90929 ,63323 ,734 ,90 ,82 ,229 ,25513 ,33 ,307 ,23 ,98 ,192 ,39 ,47 ,219 ,1941 ,
1995 ,3732450 ,2344748 ,297 ,305 ,2522 ,128 ,110 ,3669 ,916 ,819 ,4933 ,229965 ,614931 ,20378 ,133 ,270 ,,25070 ,31265 ,3124 ,76 ,6260 ,743 ,1103566 ,15708 ,506 ,850 ,406 ,48864 ,1461 ,147 ,142 ,2686 ,5528 ,105838 ,128 ,993 ,440 ,41513 ,57767 ,4302 ,7868 ,121 ,513915 ,49 ,8564 ,8183 ,1056 ,7 ,561 ,,2355 ,8950 ,176 ,7783 ,55689 ,69939 ,2522 ,3590 ,380 ,7104 ,25429 ,1 ,24 ,100 ,333 ,169 ,284 ,14 ,187 ,13 ,55 ,19883 ,6122 ,2843 ,4235 ,1657 ,24232 ,15 ,11757 ,15942 ,17678 ,,,131105 ,72811 ,73 ,12 ,8 ,815 ,16 ,8 ,1 ,1 ,469 ,715 ,,,14332 ,403 ,43 ,43 ,207 ,22 ,12 ,40 ,286 ,14 ,5 ,47 ,50 ,204 ,14 ,25 ,58 ,804 ,138 ,11 ,3 ,216 ,787 ,42 ,121 ,39 ,113 ,67 ,60 ,467 ,59 ,358 ,23 ,27 ,659 ,71 ,20 ,187 ,64 ,14 ,161 ,37 ,3 ,52 ,445 ,27 ,520 ,1076 ,3171 ,2325 ,55 ,313 ,258 ,66 ,648800 ,59 ,98 ,75 ,77125 ,499 ,689 ,930 ,48 ,348 ,478 ,89 ,356 ,595 ,7947 ,159 ,452 ,16 ,13 ,6 ,311 ,558474 ,13 ,20 ,117419 ,4721 ,1431 ,90322 ,2319 ,3529 ,728 ,68 ,807 ,11514 ,39 ,655 ,1286 ,91723 ,61373 ,716 ,96 ,94 ,275 ,27894 ,29 ,333 ,258 ,126 ,288 ,37 ,65 ,139 ,1513 ,
1996 ,4244529 ,2684751 ,434 ,336 ,3135 ,225 ,139 ,3949 ,775 ,997 ,5619 ,257393 ,756785 ,27761 ,140 ,273 ,,28346 ,36837 ,3400 ,90 ,7203 ,609 ,1224441 ,16132 ,328 ,945 ,479 ,53069 ,1614 ,162 ,139 ,3287 ,6352 ,106394 ,175 ,1208 ,544 ,51956 ,68987 ,4485 ,9473 ,135 ,620480 ,68 ,9636 ,8912 ,1111 ,166 ,598 ,,2589 ,9592 ,204 ,7982 ,59120 ,77717 ,2651 ,2968 ,543 ,8253 ,29048 ,73 ,243 ,79 ,291 ,174 ,269 ,26 ,288 ,36 ,129 ,20171 ,6713 ,3178 ,4993 ,1608 ,26349 ,15 ,12623 ,17559 ,17637 ,10 ,21 ,145584 ,138254 ,345 ,198 ,10 ,653 ,30 ,43 ,12 ,45 ,621 ,1019 ,23 ,,14067 ,297 ,23 ,42 ,199 ,18 ,9 ,39 ,147 ,19 ,6 ,43 ,32 ,345 ,18 ,29 ,149 ,991 ,105 ,19 ,5 ,216 ,756 ,21 ,89 ,28 ,113 ,106 ,54 ,479 ,65 ,418 ,58 ,20 ,764 ,70 ,48 ,208 ,55 ,8 ,155 ,27 ,7 ,54 ,465 ,32 ,632 ,483 ,3189 ,2324 ,47 ,199 ,317 ,25 ,707512 ,69 ,65 ,48 ,87246 ,447 ,482 ,1030 ,74 ,288 ,366 ,89 ,259 ,502 ,8811 ,153 ,399 ,17 ,13 ,26 ,450 ,606652 ,18 ,8 ,120257 ,5337 ,1491 ,94068 ,2299 ,3132 ,470 ,65 ,835 ,10549 ,22 ,768 ,1221 ,94907 ,66697 ,783 ,77 ,86 ,282 ,25751 ,30 ,384 ,257 ,107 ,231 ,43 ,38 ,141 ,2555 ,
1997 ,4669514 ,2875201 ,438 ,356 ,2966 ,120 ,183 ,4239 ,936 ,1097 ,7218 ,283467 ,857877 ,30806 ,162 ,461 ,,33316 ,43313 ,4288 ,59 ,8536 ,582 ,1236597 ,15061 ,336 ,878 ,526 ,55491 ,2066 ,196 ,129 ,3384 ,7676 ,124856 ,186 ,1228 ,619 ,62397 ,67015 ,5227 ,10753 ,160 ,773515 ,69 ,10393 ,9725 ,1117 ,421 ,810 ,,2712 ,9997 ,379 ,9403 ,63814 ,84456 ,2884 ,3173 ,572 ,10833 ,31370 ,118 ,526 ,80 ,422 ,175 ,332 ,29 ,217 ,58 ,191 ,22356 ,8119 ,3476 ,5320 ,1915 ,30120 ,17 ,12039 ,20037 ,19323 ,40 ,51 ,170251 ,231599 ,1295 ,494 ,9 ,259 ,60 ,90 ,5 ,129 ,606 ,1377 ,60 ,192 ,15495 ,346 ,16 ,63 ,242 ,32 ,11 ,39 ,149 ,14 ,9 ,60 ,34 ,423 ,23 ,22 ,49 ,1150 ,166 ,18 ,15 ,227 ,817 ,24 ,74 ,35 ,114 ,129 ,71 ,505 ,64 ,342 ,77 ,32 ,977 ,45 ,47 ,216 ,49 ,10 ,135 ,36 ,6 ,35 ,438 ,51 ,635 ,624 ,3649 ,2467 ,53 ,220 ,378 ,32 ,755453 ,83 ,66 ,84 ,96516 ,474 ,606 ,1179 ,83 ,319 ,397 ,95 ,358 ,490 ,10585 ,162 ,430 ,26 ,19 ,10 ,508 ,642933 ,5 ,25 ,134560 ,5484 ,1796 ,104323 ,2607 ,3202 ,433 ,54 ,868 ,13395 ,45 ,761 ,1592 ,111036 ,79548 ,789 ,100 ,110 ,311 ,28597 ,43 ,466 ,388 ,98 ,318 ,47 ,68 ,153 ,4254 ,
1998 ,4556845 ,2617778 ,756 ,416 ,2814 ,175 ,156 ,4012 ,755 ,1052 ,8284 ,299573 ,874985 ,53278 ,200 ,582 ,,34819 ,25747 ,4871 ,93 ,8660 ,630 ,960556 ,13519 ,460 ,1075 ,516 ,42768 ,2371 ,206 ,136 ,3370 ,8259 ,129053 ,149 ,1730 ,636 ,59896 ,54457 ,4936 ,11663 ,164 ,873891 ,67 ,10215 ,10132 ,1149 ,566 ,805 ,,3130 ,9758 ,414 ,10606 ,69026 ,88089 ,2922 ,4070 ,485 ,10987 ,31211 ,203 ,731 ,98 ,369 ,330 ,455 ,37 ,267 ,85 ,193 ,23800 ,8510 ,3883 ,6970 ,2976 ,26896 ,28 ,14164 ,20574 ,17599 ,49 ,47 ,186454 ,299667 ,1727 ,603 ,18 ,144 ,118 ,176 ,18 ,181 ,843 ,1354 ,138 ,554 ,17183 ,393 ,22 ,73 ,220 ,35 ,15 ,79 ,110 ,24 ,6 ,99 ,47 ,480 ,32 ,23 ,55 ,1367 ,188 ,26 ,18 ,247 ,886 ,19 ,90 ,54 ,157 ,160 ,52 ,542 ,89 ,516 ,116 ,41 ,1516 ,37 ,37 ,243 ,39 ,11 ,185 ,77 ,6 ,56 ,634 ,57 ,534 ,509 ,3507 ,2779 ,80 ,271 ,279 ,45 ,813891 ,72 ,86 ,73 ,109432 ,479 ,433 ,1303 ,92 ,265 ,346 ,100 ,292 ,528 ,11137 ,138 ,432 ,25 ,13 ,26 ,575 ,688006 ,14 ,24 ,105106 ,5423 ,1526 ,77569 ,2017 ,2921 ,451 ,38 ,812 ,11959 ,41 ,774 ,1575 ,124101 ,93196 ,764 ,83 ,76 ,253 ,28412 ,38 ,402 ,269 ,103 ,285 ,38 ,51 ,131 ,4895 ,
1999 ,4901317 ,2978960 ,832 ,383 ,3295 ,175 ,142 ,4570 ,482 ,1379 ,7695 ,327005 ,963701 ,42283 ,219 ,405 ,,36435 ,33094 ,4958 ,117 ,9100 ,741 ,1160034 ,13159 ,291 ,1123 ,620 ,53961 ,3086 ,162 ,160 ,3424 ,8565 ,144305 ,248 ,1486 ,680 ,68676 ,64246 ,5125 ,12341 ,257 ,786763 ,81 ,9506 ,11099 ,1362 ,532 ,867 ,,3540 ,9838 ,409 ,10921 ,72356 ,89355 ,3299 ,3974 ,506 ,10523 ,30839 ,154 ,642 ,84 ,460 ,284 ,588 ,11 ,213 ,63 ,163 ,24642 ,7367 ,4863 ,7852 ,4067 ,23064 ,44 ,13196 ,20720 ,17319 ,29 ,79 ,188036 ,208172 ,1676 ,641 ,18 ,84 ,100 ,146 ,18 ,220 ,797 ,1314 ,154 ,476 ,18402 ,433 ,23 ,72 ,276 ,22 ,22 ,19 ,209 ,19 ,4 ,77 ,55 ,342 ,26 ,23 ,55 ,1707 ,281 ,21 ,2 ,265 ,806 ,31 ,57 ,30 ,133 ,155 ,67 ,643 ,67 ,449 ,70 ,24 ,2313 ,40 ,32 ,275 ,55 ,16 ,196 ,25 ,7 ,41 ,596 ,46 ,722 ,638 ,3337 ,2922 ,51 ,238 ,325 ,42 ,847115 ,72 ,108 ,54 ,109651 ,593 ,534 ,1280 ,53 ,363 ,497 ,114 ,298 ,517 ,11582 ,147 ,404 ,35 ,19 ,28 ,570 ,720142 ,24 ,30 ,97478 ,4502 ,1364 ,70794 ,2235 ,2941 ,409 ,45 ,742 ,12010 ,39 ,804 ,1593 ,170015 ,137558 ,762 ,80 ,89 ,246 ,29759 ,30 ,401 ,393 ,152 ,327 ,32 ,53 ,133 ,2584 ,
2000 ,5272095 ,3222982 ,732 ,421 ,3550 ,170 ,153 ,5524 ,550 ,1584 ,7350 ,385296 ,944019 ,49423 ,1339 ,347 ,,39845 ,39389 ,5334 ,124 ,12061 ,654 ,1286583 ,13953 ,368 ,1357 ,521 ,64157 ,4371 ,228 ,143 ,3905 ,9109 ,169755 ,168 ,1314 ,637 ,74967 ,73472 ,5690 ,14247 ,172 ,814912 ,138 ,10322 ,11373 ,1498 ,761 ,873 ,,3545 ,10347 ,541 ,11289 ,81528 ,90605 ,3071 ,4433 ,662 ,11005 ,34262 ,244 ,572 ,101 ,452 ,361 ,489 ,29 ,219 ,84 ,219 ,27864 ,7326 ,4833 ,7936 ,5104 ,30290 ,21 ,14654 ,21251 ,17896 ,57 ,167 ,198675 ,192946 ,2690 ,815 ,13 ,35 ,93 ,137 ,18 ,160 ,785 ,1377 ,126 ,620 ,20643 ,539 ,15 ,52 ,260 ,29 ,11 ,12 ,211 ,18 ,,73 ,40 ,277 ,16 ,30 ,59 ,1934 ,303 ,27 ,11 ,182 ,901 ,70 ,112 ,32 ,155 ,148 ,61 ,650 ,66 ,518 ,70 ,15 ,2901 ,63 ,30 ,302 ,43 ,11 ,219 ,27 ,2 ,23 ,600 ,36 ,778 ,778 ,4357 ,2854 ,60 ,300 ,290 ,72 ,890771 ,61 ,88 ,66 ,122260 ,596 ,911 ,1381 ,52 ,352 ,517 ,134 ,297 ,434 ,13049 ,157 ,431 ,22 ,10 ,21 ,527 ,749343 ,38 ,24 ,135770 ,6817 ,1652 ,101513 ,2374 ,3451 ,525 ,63 ,1035 ,15852 ,50 ,750 ,1688 ,184974 ,150046 ,734 ,113 ,96 ,270 ,32142 ,42 ,431 ,395 ,80 ,338 ,59 ,70 ,158 ,2043 ,
2001 ,5286310 ,3280514 ,258 ,401 ,3195 ,160 ,201 ,5901 ,622 ,1946 ,8136 ,444441 ,838001 ,74704 ,1724 ,449 ,,41520 ,42900 ,5301 ,128 ,10787 ,667 ,1342987 ,13246 ,427 ,1547 ,581 ,61221 ,6600 ,212 ,154 ,4342 ,9254 ,186262 ,300 ,1388 ,670 ,70707 ,77521 ,5100 ,16374 ,179 ,817035 ,112 ,9991 ,11249 ,1517 ,872 ,980 ,,4332 ,10026 ,530 ,9996 ,85234 ,89895 ,3166 ,4307 ,575 ,11023 ,35991 ,228 ,903 ,92 ,408 ,487 ,978 ,28 ,206 ,135 ,168 ,24431 ,6880 ,4752 ,7132 ,6556 ,33772 ,50 ,13587 ,19876 ,17718 ,55 ,166 ,203551 ,187113 ,3179 ,889 ,16 ,25 ,167 ,183 ,12 ,221 ,815 ,1558 ,151 ,751 ,21289 ,390 ,27 ,71 ,364 ,34 ,15 ,18 ,245 ,21 ,8 ,61 ,33 ,322 ,18 ,27 ,97 ,2174 ,333 ,31 ,7 ,195 ,892 ,30 ,162 ,62 ,120 ,149 ,59 ,622 ,95 ,507 ,84 ,20 ,3522 ,61 ,31 ,322 ,59 ,6 ,247 ,38 ,5 ,43 ,587 ,76 ,723 ,316 ,4365 ,2721 ,51 ,283 ,282 ,258 ,862392 ,64 ,95 ,60 ,128707 ,655 ,686 ,1161 ,60 ,383 ,666 ,96 ,378 ,513 ,12612 ,149 ,435 ,26 ,17 ,13 ,506 ,715036 ,51 ,23 ,114007 ,4880 ,1758 ,81800 ,2134 ,3660 ,618 ,59 ,883 ,15723 ,44 ,720 ,1728 ,189336 ,152480 ,730 ,86 ,88 ,342 ,34091 ,37 ,386 ,391 ,83 ,308 ,48 ,59 ,207 ,1737 ,
2002 ,5771975 ,3674574 ,381 ,532 ,3585 ,205 ,186 ,6227 ,724 ,2025 ,9566 ,527796 ,909654 ,136482 ,2589 ,440 ,56 ,45693 ,44987 ,5666 ,159 ,11067 ,783 ,1472096 ,15576 ,616 ,1625 ,769 ,66549 ,5607 ,245 ,150 ,4200 ,8991 ,197136 ,231 ,1727 ,677 ,78017 ,86683 ,6566 ,18144 ,166 ,841667 ,136 ,10513 ,11873 ,1629 ,924 ,1681 ,,4318 ,11169 ,802 ,9575 ,89546 ,96070 ,3573 ,4515 ,557 ,18196 ,37202 ,227 ,783 ,90 ,406 ,397 ,1219 ,50 ,215 ,178 ,159 ,24504 ,7070 ,5377 ,9430 ,7734 ,36693 ,40 ,15908 ,21349 ,18196 ,67 ,151 ,225074 ,154758 ,3964 ,1042 ,17 ,4 ,159 ,203 ,20 ,179 ,902 ,1949 ,168 ,706 ,24001 ,449 ,18 ,100 ,669 ,36 ,45 ,1 ,263 ,38 ,9 ,83 ,42 ,363 ,14 ,36 ,160 ,2294 ,372 ,25 ,14 ,198 ,823 ,35 ,201 ,45 ,129 ,181 ,93 ,754 ,105 ,574 ,59 ,35 ,4055 ,71 ,35 ,772 ,52 ,24 ,288 ,42 ,7 ,31 ,533 ,49 ,1081 ,379 ,4639 ,2855 ,88 ,283 ,246 ,208 ,921566 ,110 ,105 ,74 ,134845 ,1072 ,514 ,1223 ,87 ,513 ,873 ,122 ,425 ,678 ,24300 ,172 ,500 ,43 ,13 ,19 ,594 ,755196 ,53 ,35 ,103898 ,4502 ,1652 ,71763 ,2504 ,4090 ,2319 ,75 ,1101 ,13246 ,53 ,879 ,1714 ,204542 ,167868 ,906 ,81 ,79 ,319 ,33748 ,24 ,435 ,363 ,60 ,360 ,50 ,59 ,190 ,1727 ,
2003 ,5727240 ,3793793 ,598 ,462 ,3509 ,153 ,223 ,7229 ,653 ,2187 ,9231 ,537700 ,816692 ,163254 ,2804 ,386 ,92 ,45450 ,51160 ,6038 ,216 ,10534 ,742 ,1621903 ,8899 ,383 ,2261 ,619 ,67515 ,5858 ,361 ,137 ,4570 ,9055 ,209525 ,258 ,1163 ,726 ,78215 ,95018 ,7101 ,20768 ,145 ,762511 ,122 ,10341 ,11232 ,1561 ,1139 ,1157 ,,4781 ,10817 ,682 ,10620 ,87722 ,95691 ,3130 ,4014 ,571 ,11089 ,36665 ,323 ,1153 ,92 ,410 ,514 ,1126 ,21 ,177 ,260 ,153 ,25563 ,7474 ,5551 ,9556 ,8039 ,43738 ,59 ,15369 ,19076 ,18009 ,64 ,200 ,206331 ,97720 ,4704 ,1180 ,14 ,1 ,161 ,213 ,11 ,171 ,785 ,2028 ,169 ,762 ,23682 ,457 ,27 ,120 ,580 ,15 ,41 ,34 ,279 ,48 ,11 ,132 ,68 ,479 ,20 ,40 ,200 ,2369 ,356 ,58 ,12 ,205 ,825 ,13 ,182 ,47 ,164 ,206 ,61 ,702 ,135 ,511 ,115 ,50 ,3702 ,58 ,47 ,519 ,76 ,37 ,347 ,110 ,12 ,46 ,668 ,70 ,748 ,451 ,4529 ,2775 ,141 ,346 ,274 ,164 ,825836 ,71 ,66 ,49 ,129460 ,547 ,851 ,1071 ,54 ,336 ,407 ,124 ,297 ,569 ,11686 ,198 ,417 ,46 ,30 ,9 ,547 ,678935 ,45 ,21 ,109088 ,4807 ,1639 ,79692 ,1998 ,3331 ,466 ,73 ,967 ,14564 ,67 ,472 ,1012 ,210906 ,175315 ,884 ,122 ,89 ,295 ,32636 ,29 ,427 ,346 ,124 ,365 ,39 ,63 ,172 ,1424 ,
2004 ,6756830 ,4607027 ,1029 ,816 ,3945 ,344 ,263 ,8501 ,655 ,2512 ,10498 ,741659 ,1117950 ,226321 ,2319 ,431 ,133 ,52379 ,50730 ,6342 ,595 ,11498 ,964 ,1774872 ,9988 ,672 ,1967 ,756 ,73125 ,5913 ,414 ,170 ,5139 ,10315 ,236291 ,471 ,1349 ,876 ,91553 ,121963 ,7254 ,23852 ,203 ,823210 ,162 ,11937 ,12414 ,1947 ,1248 ,1090 ,,5005 ,11350 ,769 ,12011 ,98826 ,108773 ,3461 ,4565 ,720 ,11978 ,39870 ,403 ,1217 ,96 ,453 ,610 ,1077 ,27 ,219 ,293 ,224 ,29938 ,8290 ,6463 ,11730 ,8120 ,56253 ,32 ,19341 ,21618 ,20915 ,24 ,159 ,222284 ,76773 ,4717 ,1223 ,5 ,,172 ,203 ,20 ,237 ,908 ,1991 ,247 ,802 ,24129 ,664 ,31 ,77 ,504 ,29 ,27 ,14 ,316 ,18 ,6 ,143 ,45 ,401 ,8 ,44 ,109 ,2125 ,276 ,31 ,13 ,231 ,992 ,29 ,246 ,43 ,176 ,169 ,73 ,773 ,162 ,562 ,73 ,39 ,3480 ,65 ,53 ,426 ,54 ,15 ,300 ,44 ,13 ,61 ,662 ,44 ,959 ,725 ,5072 ,2815 ,43 ,329 ,288 ,232 ,955068 ,95 ,136 ,68 ,146109 ,596 ,540 ,986 ,148 ,386 ,451 ,76 ,335 ,705 ,17128 ,231 ,390 ,37 ,27 ,15 ,620 ,785916 ,47 ,26 ,109650 ,4135 ,1809 ,79960 ,2289 ,3402 ,620 ,67 ,959 ,14575 ,102 ,384 ,1348 ,236635 ,197940 ,778 ,99 ,102 ,321 ,35892 ,21 ,384 ,388 ,98 ,305 ,42 ,65 ,200 ,1111 ,
2005 ,7450103 ,5134673 ,2142 ,641 ,4333 ,417 ,339 ,8377 ,762 ,2975 ,11998 ,780924 ,1315594 ,250366 ,1857 ,410 ,120 ,58450 ,56010 ,6534 ,697 ,11980 ,1312 ,2008418 ,10686 ,601 ,1992 ,858 ,78645 ,7614 ,457 ,175 ,6172 ,10641 ,221309 ,523 ,1987 ,1026 ,96186 ,136868 ,7577 ,26213 ,487 ,874247 ,143 ,12677 ,14595 ,2398 ,1205 ,1616 ,,5908 ,12751 ,924 ,13153 ,114397 ,121261 ,4369 ,4538 ,987 ,14324 ,45951 ,468 ,1723 ,119 ,690 ,640 ,1376 ,28 ,254 ,350 ,197 ,31080 ,8894 ,7249 ,10943 ,7857 ,62969 ,43 ,26515 ,23709 ,24101 ,63 ,293 ,229758 ,52176 ,5216 ,1359 ,6 ,,271 ,410 ,54 ,348 ,1032 ,1847 ,209 ,803 ,28782 ,518 ,47 ,121 ,524 ,34 ,42 ,63 ,400 ,9 ,5 ,162 ,45 ,502 ,5 ,64 ,190 ,2056 ,358 ,55 ,10 ,279 ,1182 ,44 ,287 ,52 ,247 ,242 ,103 ,1437 ,149 ,572 ,95 ,38 ,3777 ,66 ,127 ,635 ,76 ,10 ,448 ,38 ,23 ,35 ,801 ,54 ,1082 ,934 ,5941 ,3321 ,89 ,402 ,372 ,614 ,1035301 ,95 ,144 ,65 ,154571 ,1006 ,603 ,1360 ,228 ,435 ,683 ,140 ,445 ,754 ,19286 ,266 ,556 ,49 ,28 ,18 ,648 ,853845 ,42 ,34 ,125973 ,4575 ,2688 ,91268 ,2541 ,3673 ,908 ,57 ,1146 ,16492 ,54 ,474 ,2097 ,249945 ,210043 ,1031 ,114 ,188 ,422 ,36280 ,25 ,521 ,504 ,186 ,292 ,57 ,78 ,204 ,1182 ,
